field, Pi-full, Si-full,Pi-Si, Pi-Pi, Si-Si, Si,-Pi, XMCD, LC,RC 
45 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
46 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
47 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
48 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
49 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
50 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
51 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
52 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
53 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
54 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
55 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
56 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
57 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
58 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
59 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
60 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
61 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
62 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
63 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
64 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
65 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
66 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
67 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
68 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
69 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
70 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
71 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
72 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
73 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
74 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
75 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
76 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
77 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
78 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
79 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
80 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
81 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
82 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
83 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
84 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
85 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
86 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
87 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
88 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
89 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
90 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
91 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
92 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
93 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
94 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
95 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
96 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
97 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
98 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
99 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
100 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
99 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
98 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
97 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
96 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
95 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
94 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
93 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
92 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
91 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
90 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
89 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
88 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
87 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
86 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
85 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
84 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
83 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
82 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
81 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
80 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
79 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
78 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
77 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
76 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
75 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
74 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
73 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
72 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
71 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
70 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
69 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
68 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
67 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
66 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
65 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
64 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
63 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
62 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
61 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
60 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
59 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
58 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
57 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
56 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
55 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
54 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
53 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
52 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
51 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
50 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
49 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
48 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
47 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
46 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
45 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
44 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
43 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
42 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
41 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
40 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
39 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
38 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
37 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
36 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
35 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
34 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
33 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
32 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
31 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
30 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
29 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
28 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
27 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
26 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
25 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
24 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
23 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
22 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
21 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
20 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
19 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
18 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
17 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
16 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
15 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
14 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
13 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
12 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
11 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
10 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
9 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
8 , 2.9626919e-06 , 3.3178809e-06, 8.2708215e-41 , 2.9626919e-06 , 3.3178809e-06,, 1.1794113e-40 , 0 , 3.1402864e-06 , 3.1402864e-06 
